,Country,Male
49,spain,72553837
29,italy,31597255
18,france,29645175
56,united kingdom - england,1755315
19,germany,223552
9,chile,74697
37,netherlands,52889
0,argentina,21474
2,australia,13829
35,mexico,10302
55,turkey,7162
30,japan,2980
33,korea,2207
47,south,2207
13,czech republic,2151
10,china,1646
22,hong kong,1378
50,sweden,1362
57,united kingdom - scotland,1089
3,austria,912
11,costa rica,781
28,israel,726
27,ireland,653
7,brazil,597
45,singapore,579
14,denmark,530
38,new zealand,499
52,taiwan,494
42,russia,374
54,thailand,357
48,south africa,305
23,hungary,297
20,ghana,292
25,india,282
17,egypt,211
39,norway,198
8,canada,124
4,barbados,123
32,kenya,94
59,vietnam,83
26,indonesia,81
34,lebanon,55
31,jordan,49
41,philippines,47
40,peru,35
51,switzerland,28
12,cyprus,28
36,morocco,15
6,botswana,14
46,solomon islands,9
53,tanzania,6
15,dominican republic,6
21,greece,5
16,ecuador,5
24,iceland,4
43,senegal,3
58,united states of america,2
44,sierra leone,1
5,belgium,1
1,armenia,1
