Country,Male,Female
argentina,21474,470308
armenia,1,3
australia,"1,3829","2,95444"
austria,912,1287
barbados,123,424
belgium,1,1
botswana,14,35
brazil,597,"1,249"
canada,124,234
chile,74697,"3081,932"
china,"1,646","2,171"
costa rica,781,"1,848"
cyprus,28,124
czech republic,2151,7282
denmark,530,"1,021"
dominican republic,6,47
ecuador,5,15
egypt,211,304
france,"2,9645175","9,9911609"
germany,"22,3552","73,2974"
ghana,292,891
greece,5,6
hong kong,"1,378","2,123"
hungary,297,500
iceland,4,6
india,282,512
indonesia,81,115
ireland,653,"2,057"
israel,726,"1,111"
italy,"3,1597255","10,59020914"
japan,"2,980","3,167"
jordan,49,101
kenya,94,162
korea,"2,207","4,722"
lebanon,55,40
mexico,"1,0302","2,63819"
morocco,15,57
netherlands,52889,"141,722"
new zealand,499,971
norway,198,266
peru,35,52
philippines,47,85
russia,374,477
senegal,3,32
sierra leone,1,3
singapore,579,914
solomon islands,9,44
south,"2,207","4,722"
south africa,305,807
spain,"72553,837","2091411,144"
sweden,"1,362","1,703"
switzerland,28,119
taiwan,494,746
tanzania,6,16
thailand,357,830
turkey,7162,20286
united kingdom - england,"1755,315","60913,553"
united kingdom - scotland,"1,089","2,527"
united states of america,2,19
vietnam,83,179
